x,cp
1.214700,7.4235000e-02
1.217300,7.3103003e-02
1.219800,7.1999997e-02
1.222400,7.0929997e-02
1.225000,6.9890000e-02
1.227500,6.8879999e-02
1.230000,6.7896999e-02
1.232600,6.6937000e-02
1.235100,6.6004001e-02
1.237600,6.5095000e-02
1.240100,6.4209998e-02
1.242500,6.3345999e-02
1.245000,6.2504999e-02
1.247400,6.1682999e-02
1.249900,6.0881000e-02
1.252300,6.0100000e-02
1.254700,5.9337001e-02
1.257100,5.8591999e-02
1.259500,5.7865001e-02
1.261800,5.7153001e-02
1.264200,5.6458000e-02
1.266500,5.5778999e-02
1.268900,5.5114001e-02
1.271200,5.4465000e-02
1.273500,5.3830002e-02
1.275800,5.3206999e-02
1.278100,5.2599002e-02
1.280300,5.2003000e-02
1.282600,5.1419001e-02
1.284800,5.0850000e-02
1.287100,5.0289001e-02
1.289300,4.9741000e-02
1.291500,4.9203999e-02
1.293700,4.8680000e-02
1.295900,4.8163999e-02
1.298000,4.7658000e-02
1.300200,4.7160000e-02
1.302300,4.6673998e-02
1.304500,4.6197001e-02
1.306600,4.5729999e-02
1.308700,4.5271002e-02
1.310800,4.4821002e-02
1.312900,4.4376999e-02
1.314900,4.3940999e-02
1.317000,4.3515000e-02
1.319100,4.3097999e-02
1.321100,4.2684000e-02
1.323100,4.2281002e-02
1.325100,4.1882001e-02
1.327100,4.1492000e-02
1.329100,4.1106999e-02
1.331100,4.0732000e-02
1.333000,4.0359002e-02
1.335000,3.9995998e-02
1.336900,3.9634999e-02
1.338900,3.9283000e-02
1.340800,3.8934998e-02
1.342700,3.8594998e-02
1.344600,3.8258001e-02
1.346400,3.7927002e-02
1.348300,3.7599001e-02
1.350200,3.7280999e-02
1.352000,3.6965001e-02
1.353800,3.6651999e-02
1.355700,3.6345001e-02
1.357500,3.6044002e-02
1.359300,3.5746001e-02
1.361100,3.5454001e-02
1.362800,3.5165001e-02
1.364600,3.4878999e-02
1.366400,3.4598000e-02
1.368100,3.4320999e-02
1.369800,3.4049999e-02
1.371600,3.3778999e-02
1.373300,3.3514000e-02
1.375000,3.3250999e-02
1.376700,3.2995000e-02
1.378300,3.2738999e-02
1.380000,3.2488000e-02
1.381600,3.2237999e-02
1.383300,3.1994000e-02
1.384900,3.1752001e-02
1.386500,3.1511001e-02
1.388200,3.1275000e-02
1.389800,3.1043001e-02
1.391300,3.0810000e-02
1.392900,3.0584000e-02
1.394500,3.0356999e-02
1.396000,3.0137001e-02
1.397600,2.9916000e-02
1.399100,2.9699000e-02
1.400700,2.9484000e-02
1.402200,2.9273000e-02
1.403700,2.9061001e-02
1.405200,2.8852001e-02
1.406700,2.8647000e-02
1.408100,2.8444000e-02
1.409600,2.8241999e-02
1.411100,2.8042000e-02
1.412500,2.7845001e-02
1.413900,2.7648000e-02
1.415400,2.7455000e-02
1.416800,2.7264001e-02
1.418200,2.7073000e-02
1.419600,2.6885999e-02
1.421000,2.6698001e-02
1.422300,2.6512999e-02
1.423700,2.6327999e-02
1.425100,2.6146000e-02
1.426400,2.5965000e-02
1.427800,2.5785999e-02
1.429100,2.5606999e-02
1.430400,2.5431000e-02
1.431700,2.5255000e-02
1.433000,2.5082000e-02
1.434300,2.4909999e-02
1.435600,2.4737000e-02
1.436900,2.4567001e-02
1.438100,2.4397001e-02
1.439400,2.4227001e-02
1.440600,2.4060000e-02
1.441900,2.3893001e-02
1.443100,2.3729000e-02
1.444300,2.3562999e-02
1.445500,2.3398999e-02
1.446700,2.3235001e-02
1.447900,2.3071000e-02
1.449100,2.2910001e-02
1.450300,2.2746000e-02
1.451500,2.2585001e-02
1.452600,2.2423999e-02
1.453800,2.2263000e-02
1.454900,2.2102000e-02
1.456000,2.1943999e-02
1.457200,2.1783000e-02
1.458300,2.1622000e-02
1.459400,2.1462001e-02
1.460500,2.1304000e-02
1.461600,2.1143001e-02
1.462700,2.0981999e-02
1.463800,2.0821000e-02
1.464800,2.0660000e-02
1.465900,2.0499000e-02
1.466900,2.0335000e-02
1.468000,2.0174000e-02
1.469000,2.0010000e-02
1.470100,1.9843001e-02
1.471100,1.9679001e-02
1.472100,1.9509001e-02
1.473100,1.9343000e-02
1.474100,1.9169999e-02
1.475100,1.8999999e-02
1.476100,1.8824000e-02
1.477100,1.8645000e-02
1.478000,1.8466000e-02
1.479000,1.8285001e-02
1.479900,1.8097000e-02
1.480900,1.7906001e-02
1.481800,1.7712001e-02
1.482800,1.7512999e-02
1.483700,1.7304000e-02
1.484600,1.7092001e-02
1.485500,1.6875001e-02
1.486400,1.6644999e-02
1.487300,1.6407000e-02
1.488200,1.6154001e-02
1.489100,1.5888000e-02
1.490000,1.5608000e-02
1.490800,1.5310000e-02
1.491700,1.4994000e-02
1.492600,1.4661000e-02
1.493400,1.4291000e-02
1.494300,1.3847000e-02
1.495100,1.3260000e-02
1.495900,1.2446000e-02
1.496800,1.1382000e-02
1.497600,1.0160000e-02
1.498400,9.1978004e-03
1.499200,8.2858996e-03
1.500000,9.5883003e-03
