x,cf
1.124964,2.0555523e-03
1.127955,2.0767604e-03
1.130934,2.0975962e-03
1.133902,2.1178045e-03
1.136858,2.1373760e-03
1.139802,2.1564597e-03
1.142734,2.1749700e-03
1.145654,2.1928058e-03
1.148562,2.2100094e-03
1.151458,2.2266461e-03
1.154341,2.2426781e-03
1.157213,2.2580402e-03
1.160072,2.2727547e-03
1.162919,2.2868491e-03
1.165754,2.3003304e-03
1.168577,2.3132139e-03
1.171387,2.3254864e-03
1.174185,2.3371531e-03
1.176970,2.3482386e-03
1.179743,2.3587605e-03
1.182504,2.3687375e-03
1.185252,2.3781925e-03
1.187988,2.3871497e-03
1.190711,2.3956366e-03
1.193422,2.4036847e-03
1.196120,2.4113290e-03
1.198805,2.4186100e-03
1.201478,2.4255738e-03
1.204139,2.4322586e-03
1.206787,2.4386868e-03
1.209422,2.4448708e-03
1.212044,2.4508219e-03
1.214654,2.4565517e-03
1.217252,2.4620702e-03
1.219836,2.4673874e-03
1.222408,2.4725127e-03
1.224968,2.4774552e-03
1.227515,2.4822236e-03
1.230049,2.4868262e-03
1.232570,2.4912704e-03
1.235079,2.4955641e-03
1.237574,2.4997138e-03
1.240058,2.5037259e-03
1.242528,2.5076065e-03
1.244986,2.5113614e-03
1.247432,2.5149959e-03
1.249864,2.5185153e-03
1.252284,2.5219242e-03
1.254692,2.5252269e-03
1.257086,2.5284281e-03
1.259468,2.5315320e-03
1.261838,2.5345420e-03
1.264194,2.5374619e-03
1.266539,2.5402955e-03
1.268870,2.5430454e-03
1.271189,2.5457155e-03
1.273495,2.5483081e-03
1.275789,2.5508262e-03
1.278070,2.5532725e-03
1.280339,2.5556497e-03
1.282595,2.5579606e-03
1.284839,2.5602076e-03
1.287070,2.5623930e-03
1.289289,2.5645192e-03
1.291495,2.5665879e-03
1.293689,2.5686014e-03
1.295871,2.5705614e-03
1.298040,2.5724699e-03
1.300196,2.5743288e-03
1.302341,2.5761395e-03
1.304473,2.5779037e-03
1.306592,2.5796231e-03
1.308700,2.5812993e-03
1.310795,2.5829333e-03
1.312878,2.5845270e-03
1.314949,2.5860814e-03
1.317007,2.5875978e-03
1.319054,2.5890775e-03
1.321088,2.5905210e-03
1.323110,2.5919303e-03
1.325120,2.5933059e-03
1.327119,2.5946496e-03
1.329105,2.5959618e-03
1.331079,2.5972442e-03
1.333041,2.5984973e-03
1.334992,2.5997222e-03
1.336930,2.6009197e-03
1.338857,2.6020908e-03
1.340772,2.6032364e-03
1.342675,2.6043570e-03
1.344567,2.6054536e-03
1.346447,2.6065269e-03
1.348315,2.6075777e-03
1.350171,2.6086066e-03
1.352016,2.6096143e-03
1.353849,2.6106015e-03
1.355671,2.6115689e-03
1.357482,2.6125168e-03
1.359281,2.6134462e-03
1.361068,2.6143577e-03
1.362844,2.6152516e-03
1.364609,2.6161287e-03
1.366363,2.6169894e-03
1.368105,2.6178341e-03
1.369836,2.6186637e-03
1.371557,2.6194784e-03
1.373266,2.6202786e-03
1.374963,2.6210651e-03
1.376650,2.6218381e-03
1.378326,2.6225981e-03
1.379991,2.6233455e-03
1.381645,2.6240807e-03
1.383288,2.6248042e-03
1.384921,2.6255161e-03
1.386542,2.6262172e-03
1.388153,2.6269075e-03
1.389753,2.6275879e-03
1.391343,2.6282582e-03
1.392922,2.6289192e-03
1.394490,2.6295711e-03
1.396048,2.6302144e-03
1.397596,2.6308494e-03
1.399133,2.6314764e-03
1.400660,2.6320957e-03
1.402176,2.6327078e-03
1.403682,2.6333130e-03
1.405178,2.6339111e-03
1.406664,2.6345032e-03
1.408139,2.6350890e-03
1.409605,2.6356692e-03
1.411060,2.6362436e-03
1.412506,2.6368131e-03
1.413941,2.6373777e-03
1.415367,2.6379374e-03
1.416783,2.6384932e-03
1.418189,2.6390448e-03
1.419585,2.6395926e-03
1.420971,2.6401372e-03
1.422348,2.6406785e-03
1.423715,2.6412169e-03
1.425073,2.6417526e-03
1.426421,2.6422862e-03
1.427760,2.6428178e-03
1.429089,2.6433477e-03
1.430409,2.6438765e-03
1.431720,2.6444041e-03
1.433021,2.6449307e-03
1.434313,2.6454574e-03
1.435596,2.6459836e-03
1.436870,2.6465103e-03
1.438135,2.6470374e-03
1.439390,2.6475657e-03
1.440637,2.6480949e-03
1.441875,2.6486260e-03
1.443104,2.6491589e-03
1.444324,2.6496942e-03
1.445535,2.6502325e-03
1.446737,2.6507739e-03
1.447931,2.6513189e-03
1.449116,2.6518682e-03
1.450293,2.6524221e-03
1.451461,2.6529809e-03
1.452620,2.6535455e-03
1.453771,2.6541161e-03
1.454914,2.6546936e-03
1.456048,2.6552784e-03
1.457174,2.6558714e-03
1.458292,2.6564733e-03
1.459401,2.6570847e-03
1.460503,2.6577066e-03
1.461596,2.6583397e-03
1.462681,2.6589851e-03
1.463758,2.6596440e-03
1.464827,2.6603171e-03
1.465888,2.6610063e-03
1.466942,2.6617125e-03
1.467987,2.6624375e-03
1.469025,2.6631828e-03
1.470055,2.6639504e-03
1.471077,2.6647425e-03
1.472092,2.6655612e-03
1.473099,2.6664094e-03
1.474098,2.6672899e-03
1.475090,2.6682061e-03
1.476074,2.6691619e-03
1.477051,2.6701617e-03
1.478021,2.6712106e-03
1.478984,2.6723142e-03
1.479939,2.6734797e-03
1.480886,2.6747149e-03
1.481827,2.6760299e-03
1.482761,2.6774367e-03
1.483687,2.6789489e-03
1.484606,2.6805818e-03
1.485519,2.6823503e-03
1.486424,2.6842693e-03
1.487323,2.6863567e-03
1.488214,2.6886477e-03
1.489099,2.6912244e-03
1.489977,2.6942587e-03
1.490848,2.6980399e-03
1.491713,2.7029261e-03
1.492571,2.7091086e-03
1.493422,2.7160714e-03
1.494267,2.7216342e-03
1.495105,2.7207152e-03
1.495937,2.7040269e-03
1.496762,2.6578552e-03
1.497581,2.5639767e-03
1.498394,2.4006199e-03
1.499200,3.9468771e-03
1.500000,2.7884410e-03
